,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
358,Universidad de los Andes,COURSE,4.8,Beginner,110k
359,Tecnológico de Monterrey,COURSE,4.6,Beginner,47k
360,"University of California, Davis",SPECIALIZATION,4.6,Beginner,4.9k
361,Institute for the Future,SPECIALIZATION,4.8,Beginner,9.4k
362,Google Cloud,SPECIALIZATION,4.7,Beginner,10k
363,University of Toronto,SPECIALIZATION,4.8,Beginner,140k
364,Michigan State University,SPECIALIZATION,4.7,Intermediate,100k
365,Stanford University,COURSE,4.6,Beginner,260k
366,University of Pennsylvania,COURSE,4.8,Mixed,110k
367,University of Pittsburgh,COURSE,4.7,Beginner,14k
368,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,80k
369,"University of California, Davis",SPECIALIZATION,4.8,Beginner,97k
370,Sciences Po,COURSE,4.3,Mixed,19k
371,ESADE Business and Law School,COURSE,4.8,Mixed,34k
372,Pontificia Universidad Católica de Chile,COURSE,4.7,Mixed,47k
373,Bloomsbury Learning Exchange,COURSE,4.7,Beginner,14k
374,Michigan State University,COURSE,4.5,Beginner,59k
375,Amazon Web Services,COURSE,4.5,Intermediate,73k
376,"University of California, Irvine",COURSE,4.6,Intermediate,59k
377,Google Cloud,COURSE,4.5,Intermediate,75k
378,Google Cloud,COURSE,4.6,Beginner,18k
379,SAS,COURSE,4.9,Beginner,22k
380,SOAS University of London,COURSE,4.6,Mixed,79k
381,SOAS University of London,COURSE,4.7,Beginner,29k
382,SOAS University of London,COURSE,4.5,Beginner,10k
383,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,22k
384,Rice University,COURSE,4.6,Mixed,37k
385,EDHEC Business School,COURSE,4.6,Intermediate,3.6k
386,University of Pennsylvania,COURSE,4.8,Mixed,7.6k
387,IE Business School,SPECIALIZATION,4.8,Intermediate,44k
388,University of Michigan,SPECIALIZATION,4.6,Beginner,3.8k
389,Google Cloud,COURSE,4.6,Intermediate,120k
390,Google Cloud,COURSE,4.7,Intermediate,36k
391,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,93k
392,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,350k
393,"University of California, Irvine",COURSE,4.7,Mixed,430k
394,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,10k
395,University of Pennsylvania,COURSE,4.8,Mixed,260k
396,Lund University,COURSE,4.6,Beginner,56k
397,Berklee College of Music,COURSE,4.8,Mixed,210k
398,University of California San Diego,COURSE,4.7,Mixed,62k
